2014-01-05,1
2014-01-12,5
2014-01-19,5
2014-01-26,2
2014-02-02,2
2014-02-09,2
2014-02-16,2
2014-02-23,2
2014-03-02,1
2014-03-09,1
2014-03-16,1
2014-03-23,2
2014-03-30,3
2014-04-06,3
2014-04-13,2
2014-04-20,4
2014-04-27,2
2014-05-04,2
2014-05-11,0
2014-05-18,3
2014-05-25,3
2014-06-01,1
2014-06-08,5
2014-06-15,2
2014-06-22,2
2014-06-29,1
2014-07-06,2
2014-07-13,2
2014-07-20,0
2014-07-27,3
2014-08-03,3
2014-08-10,3
2014-08-17,4
2014-08-24,3
2014-08-31,2
2014-09-07,2
2014-09-14,4
2014-09-21,2
2014-09-28,2
2014-10-05,2
2014-10-12,5
2014-10-19,2
2014-10-26,4
2014-11-02,4
2014-11-09,4
2014-11-16,3
2014-11-23,2
2014-11-30,2
2014-12-07,2
2014-12-14,1
2014-12-21,1
2014-12-28,1
2015-01-04,4
2015-01-11,0
2015-01-18,1
2015-01-25,1
2015-02-01,2
2015-02-08,0
2015-02-15,2
2015-02-22,100
2015-03-01,17
2015-03-08,8
2015-03-15,6
2015-03-22,6
2015-03-29,6
2015-04-05,3
2015-04-12,3
2015-04-19,1
2015-04-26,3
2015-05-03,3
2015-05-10,5
2015-05-17,7
2015-05-24,5
2015-05-31,2
2015-06-07,3
2015-06-14,2
2015-06-21,1
2015-06-28,3
2015-07-05,3
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,1
2015-08-09,2
2015-08-16,2
2015-08-23,1
2015-08-30,1
2015-09-06,2
2015-09-13,2
2015-09-20,1
2015-09-27,2
2015-10-04,1
2015-10-11,3
2015-10-18,0
2015-10-25,1
2015-11-01,2
2015-11-08,0
2015-11-15,2
2015-11-22,3
2015-11-29,1
2015-12-06,2
2015-12-13,0
2015-12-20,0
2015-12-27,1
